Reference_Text,Ground_Truth,Predicted_Summary
"SUBJECT: Complex Regional Pain Syndrome (CRPS) or Regional Sympathetic Dystrophy (RSD)
MESSAGE: I have searched your pages and website for information on this medical condition but found nothing. I know there's not a lot of research on this but I'm pretty certain that my father had it in his legs and now I do to. Is there any evidence this condition is genetic or is it an ""Unknown at this time""?  Thanks",What causes Complex regional pain syndrome?,Is there any evidence that CRPS/RSD is genetic?
Are there any guidelines to tell how quickly Humalog becomes active after injection?  I believe it remains active for about 4 hours.  Is this reasonable?,"How long does it take for humalog to start working, and how long does it last?",Are there any guidelines to tell how quickly Humalog becomes active after injection?
"SUBJECT: Glucosamine with PRGF treatment
MESSAGE: I have just finished my third session of PRGF treatmet(Plasma rich in growth factors) for osteoarthritis/condropathia in my knee. Would it be recommendable to also take glucosamine, or would it be counterindicative?  If so, is there any specific type or combination of glucosamine that would be best for me? I am a 65 year old male, very active especialy playing tennis and skiing, activities which I hope to eturn to very soon. hank you for any information you can provide.  [NAME], Valencia Spain",Are there any contraindications to taking glucosamine in addition to PRGF treatment for knee osteoarthritis and chondropathia?,"Would it be recommendable to also take glucosamine, or would it be counterindicative?"
MESSAGE: My urea is showing 40.IS IT DANGEROUS ? IF IT IS DANGEROUS. NOW WHAT I  HAVE TO DO. MY URIC ACID IS ALSO SHOWING 2.7. IS IT DANGEROUS AND HOW I WILL COVER IT UP. [NAME],"What are the normal ranges for urea and uric acid, and what are the treatments for high levels of urea and uric acid?","Is my urea level of 40 dangerous? If so, what should I do? Additionally, my uric acid level is 2.7. Is it dangerous and how can I lower it?"
"SUBJECT: vaginal yeast infection
MESSAGE: Hey, my name is [NAME]. Last night my vaginal area was itching but I didn't think to much of it.  Well when I woke up this morning it started itching out of control.  I don't see discharge coming from the vaginal area.  Now I do use Summer's Eve vaginal spray, I don't know if it is a vaginal yeast infection or not, but how should I go about this process.",What causes vaginal itching and what are the treatments?,What are the symptoms and treatments for a vaginal yeast infection?
"SUBJECT: Bleeding Gums
MESSAGE: My brother has denture the lower denture hurts his gum and it makes it bleed and his gum is sore were he has a hard time to chew anything. He needs to know what can he do for it?",What are the treatments for bleeding gums under dentures?,What can my brother do for bleeding gums and sore gums caused by his lower denture?
"SUBJECT: Mefloquine HCl
MESSAGE: My daughter's pediatrician prescribed 1/4 of a 250mg tablet once a week. Based on insurance I could only get 4 tablet for a 30 day supply. The pediatrician thought the remaining 3/4 of the tablet must be discarded once it was exposed to air, but the pharmacist had not heard this. I read through your literature on the drug and also did not see this warning. Can we use the remaining 3/4 of the tablet on additional weeks as long as it is kept at the correct storing specifications?
Thank you for your time!",What are the storage requirements for Mefloquine HCL?,Can we use the remaining 3/4 of the tablet on additional weeks as long as it is kept at the correct storing specifications?
"SUBJECT: More info needed on polio
MESSAGE: If it was possible to get polio and not have symptoms, wouldn't it be possible to get post-polio syndrome today? How would you get tested? I think this information is needed on your site. Thank you.",How is post-polio syndrome diagnosed?,Could it be possible to get polio without showing symptoms and still develop post-polio syndrome today?
MESSAGE: I have a question about this page http://ghr.nlm.nih.gov/condition/down-syndrome I am wondering how does downs sydrome affect the daily routine of kids with downs sydrome such as using the. Bathroom or brushing their teeth? I look forward to hearing from you thank you.,How does Downs syndrome affect activities of daily living?,"How does Down syndrome affect the daily routine of kids with Down syndrome, including using the bathroom or brushing their teeth?"
"SUBJECT: Cardiomegaly with chronic chest pain
MESSAGE: With cardiomegaly chest pain will the heart muscle continue to thicken? Most all the doctors have given up trying to find the cause of his pain.  It has changed his life, he enjoys work and spending time outdoors and now he can't.",What  are the causes  and treatments of chronic chest pain with cardiomegaly?,Will the heart muscle continue to thicken with cardiomegaly and chronic chest pain?
"SUBJECT: allergic reactions
MESSAGE: I have RLS. I had allergic reactions (my neurologist is confused) to Ropinirole and the Neupro patch.
I need to know if the pramipexole made by your company has a ""something - sulfite"" as a stablizing ingredient. This is what, seems, oddly, to be causing swelling of my hands, feet, nose, throat, eyelids and tongue.
Could I get an email or a drug package insert so I could find out all the inactive ingredients.
I am desperate to find relief from this horrifying affliction. I not only has the sensations in my legs but also my arms.
Thank you for your time and information.
My mailing address: [CONTACT]
or perhaps a voicemail message:
[CONTACT]",What are the inactive ingredients of pramipexole?,Does the pramipexole made by your company contain a stabilizing ingredient called'something-sulfite' that may be causing allergic reactions?
"SUBJECT: Shoulder,back and neck paim
MESSAGE: My health care provider has done nothing for but give me shots and pain medication. What can you do to stop the pain? This has been going on 1 and half years.","What are the treatments of shoulder, back, and neck pain?","There are several options you can consider to manage and treat the pain in your shoulder, back, and neck. Firstly, physical therapy can help improve the range of motion and reduce stiffness in the affected areas. Secondly, chiropractic care can help realign the spine and relieve pressure on the muscles and joints. Thirdly, acupuncture can help reduce pain and inflammation by stimulating the body's natural healing processes. Finally, cognitive-behavioral therapy can help you manage stress and anxiety, which can exacerbate pain. It's important to consult with a healthcare professional to determine the best course of treatment for your specific condition."
factors two and five together. My brother is getting tested for factor five because his daughter was tested and said to have factors two and five.Two is said to come from her mother. My question is if my brother has factor should I and my five children and grandchildren be tested? Thank you. [NAME],What is the inheritance pattern of Factor five?,Should I and my five children and grandchildren be tested for factor five?
"SUBJECT: stage 5 kidney failure
MESSAGE: father-in-law 84.now in hospice. is sweating normal?",Is sweating normal during stage five kidney failure?,Is sweating normal for a patient in stage 5 kidney failure?
MESSAGE: I have been battling Anal fissure for close to two years now and it has refused to heal all these while. Please what do you suggest i do?  Thanks,What are the treatments for chronic anal fissure?,What is the best way to treat anal fissure that has refused to heal for over two years?
"SUBJECT: Bendectin
MESSAGE: In 1964, I began taking Bendectin for morning sickness and with each subsequent pregnancy I continued to do so. My third child developed a meningioma of the brain at 11 years old and currently, my daughter, 47 years old, has been diagnosed with a lesion(?) of the brain. I am justifiably concerned about my daughter's condition and wonder if I contributed to her status. I am only interested in helping her and not for any litigious reason. If someone also had a similar situation and was treated positively, I would so appreciate knowing about it. Thank you and God bless.",What birth defects are associated with taking bendectin during pregnancy and are there any treatments?,Did you or your child take Bendectin during pregnancy and develop a brain tumor?
"MESSAGE: I m 33 year old. I m having hand and leg tremors for sometime. Is there any permanent treatment for this. I had visited doctor, they told its a Parkinson desease and cannot be cured permanently. Could you please provide me 2nd opinion on this",What are the causes and treatments for tremors in 33 year-old?,Is there any permanent treatment for hand and leg tremors?
"SUBJECT: drug nutrient interaction
MESSAGE: Hello:
I am looking for a resource that describes nutrient ( vitamin ) depletion that results from specific medications.
Hope you can help.
Thank you.",Can medications cause vitamin depletion?,What are the nutrient depletion effects of specific medications?
"SUBJECT: CHUNT IN THE BACK
MESSAGE: Can the chunt be done from the vertebra instead of the cranium. My child needed a chunt due to the high fluid pressure in the brain. I need advice which method will be the best.",What is the procedure for inserting a shunt to relieve high fluid pressure in the brain?,Can the chunt be done from the vertebra instead of the cranium?
"SUBJECT: what to eat
MESSAGE: I have very bad diarrhea for last two months. Doctors have not found what causing it. It reserve watery.I need to know what I can eat. And is lactase milk and yougar is ok are not?",What foods should I eat when I have diarrhea?,What can I eat to manage my diarrhea?
"kindly tell me the medicine of hymen bleeding . I am from [LOCATION] . I lost my hymen and bleed now my marriage is near in 2 months and I am very depressed because in [LOCATION] if tha woman not bleed on first night of marriage then the husband give divorce I am very upset plz plz plz tell me the medicine name which I use on first night of marriage and bleed I am very thankfull to u plz tell me
*** This message has been sent using QMobile ***",Is there a medication that can cause bleeding during sex?,What is the name of the medicine that can help me bleed on my first night of marriage?
"I have a faculty member looking for some very specific information and I've had no luck using our resources. Her question is: How long after receiving dexamethasone (20 ml) via an IV does the cortisol level drop? She is studying this as it applies to breast cancer treatments. Any help you can provide would be greatly appreciated!
thanks,
[NAME]
[NAME], [PROFESSION]
[LOCATION]
[LOCATION]
[CONTACT]",What is the effect of dexamethasone on cortisol levels?,How long after receiving dexamethasone (20 ml) via an IV does the cortisol level drop?
"SUBJECT: thalassemia carrier
MESSAGE: i need to ask that i dn't knw that my mother and father is normal or carrier. i have 7 sibling. one die. 3 with beta thalassemia carrier and on normal. me and my little brother doesnot have done test. so i need to know how much chance is for me and my brother to become a carrier or normal",How is thalassemia inherited?,Is there a chance that I and my brother are carriers of thalassemia or are we normal?
"Patient Handouts.
 Are there patient handouts we can order on the topic of gum/periodontal disease? If so how can we order some?",Where can I find patient handouts on gum/periodontal disease?,Can we order patient handouts on gum/periodontal disease?
"SUBJECT: Morgellon Disease
MESSAGE: It appears as if I have had this horrible disease for many, many years and it is getting worst.  I am trying to find a physician or specialist in the South Carolina area who can treat me for this medical/mental disease.  It seems as if this disease has ""NO"" complete treatment and it is more least a disability!","What are the treatments for Morgellon Disease, and how can I find physician(s) in South Carolina who specialize in it?",Can you help me find a doctor to treat my Morgellon disease?
"SUBJECT: Peyronies Disease - Questions
MESSAGE: Dear sir/Madam  my name is [NAME]. i am 16 years old and i live in [LOCATION]. i have a couple of questions about Peyronies Disease.  i have recently discovered about this ... STD (or should i call it a disease?) and i noticed that i also have a bent penis , but none of the following points , which are on the Peyronies Page , match my Penis (ofcourse besides the bend). so i was wondering. is it also possible to get a bent penis just from masturbation? because if that is so , then i may know where the problem lies with me (i may have to switch hands then :/ )  i hope you can answer my questions. hope to hear from you soon.  -[NAME]",What causes a bent penis?,Is it also possible to get a bent penis just from masturbation?
"SUBJECT: effective exercise to counter sarcopenia
MESSAGE: I would like information on timing and exercises that counter sarcopenia. Should exercise take place at a particular time of the day? several times in the day? what types of exercise are most effective to maintain strength as I get older (I am now 82) and even thought I swim daily and do a variety of resistance exercises I still find that I am losing strength and tiring easily.",What is the best exercise regimen for sarcopenia?,"What are the most effective exercises to counter sarcopenia, specifically for individuals over the age of 80, and what is the best time of day to perform these exercises?"
"SUBJECT: use of spacer with inhaler/warning sound
MESSAGE: I've just read the instructions for using a spacer with my symbicort inhaler.  What if I breathe in according to directions and there is a warning ""whistle"" or ""sound?  What am I doing incorrectly?",How do I use a spacer with the symbicort inhaler?,What if I breathe in according to directions and there is a warning 
DNA. I know (or think I know) that random mutations can change human DNA. Can environment change DNA?,What are the effects of environmental factors on DNA?,Can environment change DNA?
"SUBJECT: I am going to start the latest treatment for HEP C.
MESSAGE: I just received the results from my recent blood test results, which says that I have a higher than normal Alkalilne Phosphatase.  Is there some type of drug to correct it, or is it norman?  Will I receive permanent, horrible results?  Is there some kind of drug or vitamin that I need less of or change of blood work?  I do take Lamital and Risperdol-besides little normal ones-I have brain damage. Can I still get treated to loose HEP C?",Should high Alkaline Phosphatase be treated and can I start treatment for hepatitis C?,"Is there some type of drug to correct it, or is it normal?"
"SUBJECT: chlameydia
MESSAGE: If My test comes back positive for this dx..is it possible that it made my face break out?",What are the symptoms of chlamydia?,Is it possible that chlamydia made my face break out?
"SUBJECT: ClinicalTrials.gov - Question - specific study
MESSAGE: I am 48 years of age..i have had shingles  since i was just 7years..i have had them over 50 times  in my life  . I am also allergic to penicillin and valtrex..most antibiotics  and most pain pills  . I have now began having seizures for last year and half  . I have had testing  done. .waiting  on some results right now  . Any suggestions",What is the latest research on treatment for shingles?,"I am 48 years old and have had shingles since I was 7 years old, with over 50 occurrences in my life. I am allergic to penicillin and valtrex, most antibiotics, and most pain pills. I have recently started experiencing seizures and have undergone testing, awaiting results. Can you provide any suggestions?"
"SUBJECT: generlized tonic clonic seizure
MESSAGE: If a person is not got any seizure attack for five years from last episode, it will be treated as cured or otherwise. kindly let me know after how many days/years it will be treated as cured.",Can epilepsy be cured?,Is a person cured of generalized tonic clonic seizures after 5 years without any seizure attacks?
"SUBJECT: bathing
MESSAGE: Can I go in tub , pool or shower while wearing the lidocaine patch?  If not, can I take off the patch (2or 3), and put a new one on in a different area for the remainder of the 12 hr. ""on"" period",Can the lidocaine patch get wet or be replaced after getting wet?,on
"SUBJECT: Tamoxifen
MESSAGE: I have been taking Tamoxifen for a little over 4 years I have had many side effects, discharge, hot flashes, dizziness and for the last 6 months bone pain. If I go off Tamoxifen, how long does it normally take for side effects to disappear? (I am 74 years old, active)",How long do side effects of Tamoifen last after stopping the drug?,"I have been taking Tamoxifen for a little over 4 years I have had many side effects, discharge, hot flashes, dizziness and for the last 6 months bone pain. If I go off Tamoxifen, how long does it normally take for side effects to disappear?"
"SUBJECT: Periventricular Heterotopia
MESSAGE: I have a 10 years old boy that was diagnose with Periventricular Heterotopia and long time ago I read something that say that the most someone last with that syndrome is 309years.Is that true. And do you know about someone interested in wanting to do research about it? I will like to lern more about it. But theres not much information.","Where can I find information on Periventricular Heterotopia, including prognosis?",Is it true that someone with Periventricular Heterotopia can live up to 309 years?
"can't find doctor. Hello,Looking at your site it said that it had doctors that treated tricho rhino phalangeal syndrome.  I looked in the directory but could not find anyone.  Am I looking in the right place is it under something else? If you could please help me that would be great!",How can I find physician(s)  who specialize in trichorhinophalangeal syndrome?,"Can't find doctor. Hello, Looking at your site it said that it had doctors that treated tricho rhino phalangeal syndrome. I looked in the directory but could not find anyone. Am I looking in the right place? Is it under something else? If you could please help me that would be great!"
"SUBJECT: instructions
MESSAGE: I purchased PH Test Strips and after receiving them I saw that there were no instructions included. I don't know how to use them and need some help with that. Could you please explain how to use them.
Thank You,
[NAME]",How do I use pH test strips?,How to use PH Test Strips?
"chromosome 3. chromosome 3 found in the bloods between the father and son,,,would this mean that my son,s blood is not the same as mine,,i was told it was all about learning problems,,,but i am woried that theres more involved,,can you send me a chart or some thing describeing ch 3 is all about and too what area of the body its being tested on espicaly a 9 year old child ,,thanks",What health conditions are associated with changes in chromosome 3?,Is my son's blood different from mine?
"SUBJECT: possible metoclopramide side effects
MESSAGE: I started taking thismedication 3/27/14, two tablets by mouth twice daily. I have now developed mouth sores on the inside of my lower lip (almost at the bottom). Could these be a side of effect of this medicine?",Are mouth sores a side effect of metoclopramide?,What are the possible side effects of metoclopramide?
"SUBJECT: how to breathe
MESSAGE: Dear Sirs,  This may seem like a stupid question but here goes anyway.  I am 64 yrs old and a type II diabetic.  I walk frequently to stay fairly fit but always seem to get out of breath when going up even gentle hills. Today however I noticed that I could change how I breath. Thus, I could force air out using my diaphram (ie like blowing out a candle)then relax and just let the air flow back in or I could use my diaphram to suck in air (like breathing in the morning air)and again relax my diaphram to push it out. I also found that I could breath faster under conscious control which seemd to help my performance. I dont know if any of this makes sense to you but I would like to know what you think and whether there are any do's and dont's and if there is a 'better' way to breath.  Thanks very much for your help with this,  Regards,  [NAME]",What are techniques for  proper breathing?,"How can I breathe better when going up gentle hills, and what are the proper techniques for deep breathing?"
"Metastatic malignant melanoma.
 I've got skin cancer, and I want this treatment, but RBCs Btensl Is it possible that taking this medication",What are the treatments for metastatic malignant melanoma?,Is it possible to treat metastatic malignant melanoma with RBCs Btensl?
"SUBJECT: Undesecnded testis
MESSAGE: Hello Sir  I am a young man of age 27  I was born with a problem of descended testis  to this age  I have always experience one of them go down to the real position at times  and then run back to the abdomen  but of recent it stopped going down  Please Sir I will like to know what my situation is and is there a remedy for it ? Thanks an i wait for your reply",What are the treatments for undescended testicles?,What is the cause of my undescended testis and is there a remedy?
"SUBJECT: Responsible for the Research on stem cells and tissue regeneration
MESSAGE: Dear colleague Good day, my name is [NAME], 48, doctor; I was affected by a bladder cancer where the removal of the organ was needed. I read about the work of his lab and I wonder if there is interest or any possibility of using pluripotent stem cells redo a piece of fabric of my bladder, for so I can do a transplant with acellular matrix and repopulate this matrix with these modified stem cells . I'm using bricker, which depress me, I lost my self esteem, lost quality of life and already thought to suicide. Until that came the hope that transplantation of acellular matrix.  I am looking forward to answer, anxious and carefully.   [NAME] CRM88878  I just can not understand the difficulty in finding a laboratory or institution that can solve this problem as the peritoneal layer of the bladder peritoneum is I already own, the inner layer is smooth muscle, which can also be acquired via endoscopic biopsy of the stomach or a arterial tissue and the layer It is coated internally by internal polymorph or transitional epithelium which can be acquired from another organ. It would just replicate small pieces so that after implanted in the acellular scaffold covered.",What is the latest research on using pluripotent stem cells and acellular matrix for  bladder regeneration?,Can you use pluripotent stem cells to regenerate a piece of bladder tissue for transplantation?
"My husband and I have a four month old baby boy. He, like all other babies
like to scratch their faces and heads with their finger nails! We were
wondering if it would be ok or dangerous to use Extra Strength Benadryl Gel
on his face and head when he's asleep? It looks really bad on his face. We
don't know what else to do for it to go away! Please email me back as soon
as possible!
Thank you,
Mr. & Mrs. [NAME]",Can Benadryl gel or something else be used for scratches on baby’s face?,Is it safe to use Extra Strength Benadryl Gel on a four month old baby boy's face and head while he is asleep?
"SUBJECT: Operation for Pectus Excavatum
MESSAGE: Dear Medical Doctors,  Good day!  We are a resident of [LOCATION] (previously affected with super typhoon Haiyan). We have noticed with our nephew who is 16 yrs old now that his breast is not normal the same with the other nephew that we have having the same age. As we start to consult our physician's in [LOCATION], they told us that it is just normal, however, we are worried because as we can it is a symptom of Pectus Excavatum. We want to know from you the details what to do if we want our nephew to undergo this kind of operation to correct the ribs in his breast (pectus excavatum)?  Hope to hear from you. Thank you very much.   [NAME]",Whare can I find information on surgery for Pectus Excavatum?,What to do if we want our nephew to undergo this kind of operation to correct the ribs in his breast (pectus excavatum)?
"SUBJECT: finastride and pregnancy
MESSAGE: my wife is pregnant. She is in week30 of pregnancy. Now i am going to  consume finastride 1mg for my hair loss.is it dangerous for pregnancy  for my wife and her fetus؟ i use condom when i have sex with my wife.  please answer me .can finastride shift to mothers body by my sweat orskin contact?please answer me .thank you.",Can finasteride be transmitted via bodily fluid or skin contact?,"Is it dangerous for pregnancy for my wife and her fetus to consume Finastride 1mg, given that she is in week 30 of pregnancy and I use condoms during sexual intercourse? Can Finastride be transferred to the mother's body through sweat or skin contact?"
"How do I know if the cause why my penis didn't growth up to a normal penis size was because of IHH?
And How can I have a treatment with hCG? Where Can I get the injections?",What are the tratments for small penis size and where can I get the treatments?,How do I know if the cause why my penis didn't grow up to a normal penis size was because of IHH? And How can I have a treatment with hCG? Where Can I get the injections?
"SUBJECT: nutcracker patient
MESSAGE: I was diagnosed with ncs about 10 yrs ago but little was known about it at the time. They said I needed surgery but refused due to the fact I didn't have any money. It has been left untreated all this time and is feeling worse. What can I do to get help with this? I am pleading for help, thank you.",What are the treatments for nutcracker syndrome?,What can I do to get help with this?
"SUBJECT: IV Ringers lactate
MESSAGE: I received ""slushy"" Ringers Lactate from our supplier due to the bitter cold in Wisconsin. If I allow these fluids to thaw at room temperature will I be able to use them for IV therapy.",Can  ringers lactate be used after freezing?,Can I use thawed Ringers Lactate for IV therapy?
"loss of ability to Taste and Smell due to surgery that acut olifactory nerve.
Can you recommend a group  to help a patient who has lost ability to taste and small, and who is profoundly depressed, has lost enormous amount of weight, has no interest in food and is virtually not eating, has no energy and I am afraid he will die of starvation if he does not get some help.  The various doctors involved are not helping.  He needs to think of food as medicine.  He must eat but hardly does.  Have you any suggestions.",How can I locate a support group for patients with taste and smell disorders?,"Can you recommend a group to help a patient who has lost the ability to taste and smell due to surgery that affected the olfactory nerve, is profoundly depressed, has lost a significant amount of weight, has no interest in food, and is barely eating? The patient's various doctors are not providing adequate support, and the patient needs to understand that food is essential for their recovery. Please provide suggestions on how to help this patient."
"SUBJECT: 'low levels of 10 lipids may predict dementia'
MESSAGE: OK. I understand your reticence to list unconfirmed 'untrigger' lipids. However, I am a trained scientist who's 72 years old, so I don't really have time to wait for confirmatory tests to be run on several K more old coots. so QUE3TION: What [NB: THE HELL] precisely are the 10 lipids in question? I would then plan to have myself checked for those 10 lipids.",What are the ten lipids that can predict dementia?,What are the 10 lipids in question?
"SUBJECT: Treatment, Paralysis
MESSAGE: I have one left side leg is paralysis last 24 years, my other parts of the body is well, it is possible my leg will good for treatment, if possible how can i do the treatment and where ? THANKS",What are the treatments for leg paralysis?,"Is it possible to treat paralysis of the left side leg, and if so, where can I get treatment?"
"SUBJECT: How long it take to get over lung surgery?
MESSAGE: I had a Thoricodimy and collaped lung ,on [DATE],I was wondering how long it takes for all pain to go away ? I was told it could take 6 mo to one yr for all symtoms to go away ,is this normal ? My surgeon says it will take this long ,also I am so tired as well is normal? I am still on strong pain meds,to help with the pain ,some days no pain,then other days a lot of pain ,it is very scarry,Hopefully it will all go away,please help me . Thanks",What is the recovery time and prognosis for thoracotomy for collapsed lung?,"How long does it take to fully recover from lung surgery, and is it normal to still experience pain and fatigue after 6-12 months?"
My grand child was born on [DATE] with Multicystic dysplastic kidneys.  After reading your article I would like to know whether the stem cell could bring hope to this child. Is this possible?  How to go about? Cloning? Please give me something to work on.,"What are the latest treatments for multicystic dysplastic kidneys, including stem cell therapy?",Could stem cells bring hope to my grandchild who was born with Multicystic dysplastic kidneys? How can we go about it? Is cloning an option? Please provide me with something to work on.
"SUBJECT: re  methotrexate  oral tabs
MESSAGE: Is there any risk to other individuals giving personal to someone on this medication? for example :On  close contact with body fluids",Can methotrexate be transmitted via bodily fluid or skin contact?,Is there any risk to other individuals giving personal care to someone on methotrexate oral tabs?
"My wife developed a very severe deep hoarse cough. She has asthma but this is different. This cough is not a breathing problem. It has been going on for four months day and night. She has had every test possible, no diagnosis. Her Ct scan shows her lungs are great. Could this be conversion hysteria. She is always stressed over bills.",What are the symptoms of conversion hysteria?,"Has your wife experienced a persistent and severe deep cough for four months, despite no breathing problems or diagnosis, and has had every test possible with normal lung function results, possibly indicative of conversion hysteria due to stress over financial issues?"
"SUBJECT: low WBC issue
MESSAGE: respected sir,                i humbly want to say  you thanx for making this website. i am [NAME] from [LOCATION] and i want to help myself by you please help me sir i will greatful to yo(sorry sir my English is not so good)      masturbation is my hobby its my taboo really sir now i am tired i want to change myself please sir give me some suggestions ....   this is bad habit in my life but i am also a bright student since last year .............. .......... .......... i am crying... sorry ...... please help me sir plzz rply me in my id.. and wish me luck     i know you have a golden heart ....",What are techniques to stop masturbating?,How can I overcome my addiction to masturbation and improve my overall health and well-being?
"Information please. Hi my name is [NAME] and im currently trying to write a book about a girl with ewings sarcoma, i need more information on ewings sarcoma and chemotherapy , radiation and surgical treatments. When i finish the book , i aim to have a portion of book sales to go towards cancer research as i lost my sister to cancer.By the way i am only 15, thanks heaps","Where can I find information on Ewing's sarcoma, including treatments?","What are the treatment options for Ewing's sarcoma, including chemotherapy, radiation, and surgery? How do these treatments work, and what are their side effects? What is the prognosis for Ewing's sarcoma, and how can I help raise funds for cancer research?"
"SUBJECT: Possibility to Treat Eye Injury
MESSAGE: When I was 7, my young brother suffered to me an eye injury. He used to play an inject bin that was injected my mother before a night. He directed me the inject bin as he was trying to frighten me for injecting. However, everything changed and he injected the bin to my eye. Now, I'm 21years old and my eye lost the vision and crossed, So what is the solution for me?",What are the treatments for vision loss?,What is the possibility to treat an eye injury caused by a toy injector when the patient is 21 years old and has lost vision and cross-eyed?
"SUBJECT: Bone Marrow Cancer
MESSAGE: hello Sir, i want to ask something about bone marrow marrow cancer.... its 22 year age... and have many symptoms of BMC..  often feel pain in bones....  i don't know the stage.... is treatment is possible at any stage???? how i can find stage??? if treatment is possible  how long(in months) it takes to recover???  kindly reply me...","Where can I find informaton on bone marrow cancer, includinf diagnosis, treatment, and prognosis?","What are the symptoms and stages of bone marrow cancer, and is treatment possible at any stage? How long does it take to recover?"
"Hello dear sir/madam
I just want to knw if any cancer person had all treatment done then cancer gonna be again or not.how long person can live after cancer treatment.please reply me as Soon as possible.
Thank you
Sent from my iPhone",What are the survival and recurrence rates for cancer?,Can cancer come back after all treatment has been done?
"SUBJECT: contents of barium sulfate solution
MESSAGE: I have your Readi-Cat 2 barium sulfate solution.  21% w/v, 2.0% w/w.  I need to know of this contains any gluten or dairy.  Also, do you know if it contains any salicylates or anything similar to aspirin?","What are the ingredients of Readi-Cat 2 barium sulfate solution, and is it gluten and dairy free?","Does the barium sulfate solution contain any gluten or dairy? Also, do you know if it contains any salicylates or anything similar to aspirin?"
"SUBJECT: Gelatin
MESSAGE: My daughter has a dairy allergy and I wanted to know about the gelatin used in your adderall xr capsules. Does it contain dairy proteins?  Thank you","What are the ingredients of adderall xr capsules, and is it dairy free?",Does it contain dairy proteins?
"SUBJECT: Proper average weight
MESSAGE: I am a 68 year young male 5'7"" tall. Please give me a guideline as to what would be a healthy weight for me. Even though I have back problems from a vertebra fracture from 2005 and have had 4 surgeries to include a stimulator and 3 fused vertebras, Yet I keep myself pretty active. I am currently weighing 179.4 lbs.  Thank you for your help.  [NAME]","What is a healthy weight for a 5'7"" male?","What would be a healthy weight for a 68 year old male, 5'7"
"sarcoidosis.
 One thing no physician has been able to tell me is whether or not fatigue--ongoing--is a part of this disease. I was diagnosed in 2006, and have noted a lessening of energy, endurance. If this is a possible side effect, I have not found it in any info on this. Please add to your information if this is a viable issue. Thanks so much! [NAME]",Is fatigue a symptom of sarcoidosis?,Is fatigue a possible side effect of sarcoidosis?
"hi this is [NAME] i am doing an isearch paper and i would love to
find out more about dystonia i have it for i think a year and i wanna know
if it will ever go away and will i ever be able to play sports again?
--
[NAME]","Where can I find information on dystonia, including prognosis?",Will I ever be able to play sports again due to Dystonia?
"SUBJECT: kalydeco
MESSAGE: hello
I have cystic fibrosis, and I want to buy a kalydeco, for buy it my government gave me money, my doctor agree that I am ready to take kalydeco, if you can tell me prices for 3 month kalydeco.
best regards
[NAME]
[LOCATION]",What is the cost for three months of kalydeco?,What is the cost of 3 months' supply of Kalydeco for the treatment of cystic fibrosis?
"SUBJECT: G6PD deficiency adopted 1957
MESSAGE: My primary care says that even though I have had three blood tests that all confirm I am totally lacking the G6PD that my deficiency is unsubstantiated. Other than expensive genetic testing how to I get them to confirm this? I want need this in my medical records and a bracelet or necklace or something to wear that I have this so they do not give me drugs and/or vitamins supplements that I should not have at all and make me worse or kill me? I am adopted and the records are still sealed and I have a son and a daughter and four grandchildren that could have had this deficiency passed on to them so you see why this is important to me. I got injured at work years ago and they gave me some kind of anesthesia I should not of had to find a bleeder on the inside and sew it and then they could not wake me up for two days. Also same job required that I get yellow fever shot every six months. No wonder I felt so awfull back then. I do not want or need a repeat of this or worse for my family or myself again. Please how to do this as I only get $9.00 an hour. I am a [PROFESSION] female. How many more blood tests do I need to substantiate this? I ask questions but get told nothing/or told that this is unsubstantiated. I asked for a hematologist a specialist and I asked for a dietician to help me with the food avoidance and do not have problems since I have more than one condition to be concerned with it is difficult with only about $48.00 a week for foods.  Thank you for any comments or suggestions and for your time and attention to this matter. [NAME]","How is G6PD deficiency inherited and diagnosed, and what are the treatments for it?","I am adopted and my primary care says that my G6PD deficiency is unsubstantiated, despite three blood tests confirming the deficiency. I want to get this confirmed in my medical records and have a bracelet or necklace to avoid being given drugs or supplements that could harm me or my family. I have a son, daughter, and four grandchildren who could have inherited the deficiency. I have experienced adverse reactions to anesthesia and yellow fever shots in the past, and I want to avoid these problems in the future. I am a [PROFESSION] female and I only make $9.00 an hour. I need help understanding how to proceed and how many more blood tests I may need to substantiate my deficiency."
"SUBJECT: Múltiple Misscarriage
MESSAGE: I had 4 misscarriage before I had my healthy daugther. I had another misscarriage a month ago. The Kareotipe for the fetus show genetic problems. Trisomy 8 and 15. Im 39 years old. Is the first time that I know the reason for the lost. I had the Kareotipe for me and my husband and there is no problem. The infertility Dr told me that I have progesterone problems Because I dont know the reason for the four misscarriage I am scared thinking the reason for all the lost babies is for genetic causes. I want another baby. What are the chances of having a baby with genetic problems?","After a miscarriage of a fetus with trisomy 8 and 15, what are the chances of a successful pregnancy?",What are the chances of having a baby with genetic problems after experiencing 4 miscarriages and a recent miscarriage with Trisomy 8 and 15 detected through karyotyping?
